type,year,weir_installed,date_of_first_arrival,p50,p90,total_observed_count,broodstock,natural_spawners,landslide_mortality
large_Chinook,1985,3-Jul,4-Jul,30-Jul,6-Aug,"3,114",,"3,114",
large_Chinook,1986,28-Jun,29-Jun,21-Jul,5-Aug,"2,891",,"2,891",
large_Chinook,1987,28-Jun,4-Jul,24-Jul,2-Aug,"4,783",,"4,783",
large_Chinook,1988,26-Jun,27-Jun,18-Jul,3-Aug,"7,292",,"7,292",
large_Chinook,1989,25-Jun,26-Jun,23-Jul,2-Aug,"4,715",,"4,715",
large_Chinook,1990,22-Jun,29-Jun,23-Jul,4-Aug,"4,392",,"4,392",
large_Chinook,1991,23-Jun,25-Jun,20-Jul,3-Aug,"4,506",,"4,506",
large_Chinook,1992,24-Jun,4-Jul,21-Jul,30-Jul,"6,627",-12,"6,615",
large_Chinook,1993,20-Jun,21-Jun,16-Jul,28-Jul,"11,449",-12,"11,437",
large_Chinook,1994,18-Jun,28-Jun,22-Jul,2-Aug,"6,387",-14,"6,373",
large_Chinook,1995,17-Jun,20-Jun,17-Jul,4-Aug,"3,072",0,"3,072",
large_Chinook,1996,17-Jun,26-Jun,16-Jul,30-Jul,"4,821",0,"4,821",
large_Chinook,1997,14-Jun,22-Jun,16-Jul,29-Jul,"5,557",-10,"5,547",
large_Chinook,1998,13-Jun,19-Jun,14-Jul,29-Jul,"4,879",-6,"4,873",
large_Chinook,1999,18-Jun,27-Jun,19-Jul,1-Aug,"4,738",-5,"4,733",
large_Chinook,2000,19-Jun,23-Jun,21-Jul,5-Aug,"6,640",-9,"6,631",
large_Chinook,2001,20-Jun,23-Jun,18-Jul,2-Aug,"9,738",-8,"9,730",
large_Chinook,2002,20-Jun,23-Jun,18-Jul,27-Jul,"7,490",-14,"7,476",
large_Chinook,2003,20-Jun,20-Jun,19-Jul,6-Aug,"6,492",0,"6,492",
large_Chinook,2004,18-Jun,19-Jun,20-Jul,31-Jul,"16,381",0,"16,381",
large_Chinook,2005,19-Jun,21-Jun,22-Jul,4-Aug,"7,387",0,"7,387",
large_Chinook,2006,20-Jun,26-Jun,21-Jul,29-Jul,"3,860",0,"3,860",
large_Chinook,2007,4-Jul,10-Jul,29-Jul,4-Aug,562,0,562,
large_Chinook,2008,19-Jun,6-Jul,26-Jul,4-Aug,"2,663",0,"2,663",
large_Chinook,2009,19-Jun,3-Jul,19-Jul,4-Aug,"2,245",0,"2,245",
large_Chinook,2010,19-Jun,22-Jun,23-Jul,2-Aug,"1,057",0,"1,057",
large_Chinook,2011,19-Jun,22-Jun,23-Jul,2-Aug,"1,753",0,"1,753",
large_Chinook,2012,27-Jun,7-Jul,26-Jul,5-Aug,720,0,720,
large_Chinook,2013,20-Jun,9-Jul,27-Jul,5-Aug,878,0,878,
large_Chinook,2014,23-Jun,18-Jul,28-Jul,31-Jul,169,,169,394
large_Chinook,2015,19-Jun,14-Jul,24-Jul,27-Jul,450,,450,
large_Chinook,2016,22-Jun,8-Jul,28-Jul,5-Aug,921,,921,
large_Chinook,2017,23-Jun,23-Jun,18-Jul,6-Aug,492,,492,
large_Chinook,2018,23-Jun,23-Jun,18-Jul,31-Jul,453,,453,
large_Chinook,2019,22-Jun,29-Jun,24-Jul,7-Aug,536,,536,
large_Chinook,2020,30-Jun,5-Jul,27-Jul,8-Aug,347,,347,
large_Chinook,2021,6-Jul,10-Jul,25-Jul,10-Aug,987,,987,
large_Chinook,2022,08-Jul,10-Jul,24-Jul,30-Jul,677,,677,
large_Chinook,2023,27-Jun,06-Jul,23-Jul,06-Aug,363,,363,
nonlarge_Chinook,1985,3-Jul,4-Jul,31-Jul,10-Aug,316,,316,
nonlarge_Chinook,1986,28-Jun,3-Jul,25-Jul,6-Aug,572,,572,
nonlarge_Chinook,1987,28-Jun,3-Jul,26-Jul,6-Aug,365,,365,
nonlarge_Chinook,1988,26-Jun,27-Jun,17-Jul,2-Aug,327,,327,
nonlarge_Chinook,1989,25-Jun,26-Jun,23-Jul,2-Aug,199,,199,
nonlarge_Chinook,1990,22-Jun,5-Jul,22-Jul,30-Jul,417,,417,
nonlarge_Chinook,1991,23-Jun,3-Jul,24-Jul,7-Aug,313,,313,
nonlarge_Chinook,1992,24-Jun,12-Jul,22-Jul,30-Jul,131,,131,
nonlarge_Chinook,1993,20-Jun,30-Jun,14-Jul,1-Aug,60,,60,
nonlarge_Chinook,1994,18-Jun,2-Jul,22-Jul,5-Aug,121,,121,
nonlarge_Chinook,1995,17-Jun,22-Jun,28-Jul,10-Aug,135,,135,
nonlarge_Chinook,1996,17-Jun,12-Jul,25-Jul,5-Aug,22,,22,
nonlarge_Chinook,1997,14-Jun,26-Jun,21-Jul,1-Aug,54,,54,
nonlarge_Chinook,1998,13-Jun,26-Jun,20-Jul,7-Aug,37,,37,
nonlarge_Chinook,1999,18-Jun,1-Jul,23-Jul,6-Aug,202,,202,
nonlarge_Chinook,2000,19-Jun,23-Jun,20-Jul,5-Aug,108,,108,
nonlarge_Chinook,2001,20-Jun,23-Jun,27-Jul,3-Aug,269,,269,
nonlarge_Chinook,2002,20-Jun,26-Jun,21-Jul,7-Aug,618,,618,
nonlarge_Chinook,2003,20-Jun,30-Jun,21-Jul,5-Aug,334,,334,
nonlarge_Chinook,2004,18-Jun,21-Jun,19-Jul,31-Jul,250,,250,
nonlarge_Chinook,2005,19-Jun,29-Jun,23-Jul,4-Aug,231,,231,
nonlarge_Chinook,2006,20-Jun,7-Jul,23-Jul,5-Aug,93,,93,
nonlarge_Chinook,2007,4-Jul,15-Jul,29-Jul,1-Aug,12,,12,
nonlarge_Chinook,2008,19-Jun,14-Jul,25-Jul,29-Jul,139,,139,
nonlarge_Chinook,2009,19-Jun,9-Jul,19-Jul,4-Aug,99,,99,
nonlarge_Chinook,2010,19-Jun,7-Jul,26-Jul,4-Aug,221,,221,
nonlarge_Chinook,2011,27-Jun,7-Jul,26-Jul,4-Aug,194,,194,
nonlarge_Chinook,2012,27-Jun,11-Jul,18-Jul,27-Jul,51,,51,
nonlarge_Chinook,2013,20-Jun,13-Jul,27-Jul,3-Aug,183,,183,
nonlarge_Chinook,2014,23-Jun,18-Jul,28-Jul,31-Jul,39,,39,91
nonlarge_Chinook,2015,19-Jun,14-Jul,24-Jul,27-Jul,490,,490,
nonlarge_Chinook,2016,22-Jun,9-Jul,28-Jul,6-Aug,318,,318,
nonlarge_Chinook,2017,23-Jun,26-Jun,26-Jul,7-Aug,311,,311,
nonlarge_Chinook,2018,24-Jun,1-Jul,27-Jul,4-Aug,413,,413,
nonlarge_Chinook,2019,23-Jun,25-Jun,31-Jul,6-Aug,"1,002",,"1,002",
nonlarge_Chinook,2020,30-Jun,4-Jul,2-Aug,13-Aug,"1,069",,"1,069",
nonlarge_Chinook,2021,6-Jul,12-Jul,2-Aug,12-Aug,484,,484,
nonlarge_Chinook,2022,08-Jul,10-Jul,27-Jul,07-Aug,520,,520,
nonlarge_Chinook,2023,27-Jun,04-Jul,03-Aug,11-Aug,432,,432,