year,weir_installed,date_of_first_arrival,p50,p90,weir_pulled,total_observed_count,counts_after_harvestsamples
1959,1-Jul,3-Aug,13-Aug,17-Aug,,"4,311","4,311"
1960,15-Jul,2-Aug,24-Aug,27-Aug,,"6,387","6,387"
1961,21-Jul,10-Aug,12-Aug,17-Aug,,"16,519","16,519"
1962,2-Aug,3-Aug,6-Aug,9-Aug,,"14,508","14,508"
1963,4-Aug,,,,,"1,780","1,780"
1964,23-Jul,26-Jul,15-Aug,25-Aug,,"18,353","18,353"
1965a,20-Jul,19-Aug,4-Sep,8-Sep,,"1,471","1,471"
1966,13-Jul,4-Aug,14-Aug,22-Aug,,"21,580","21,580"
1967,12-Jul,15-Jul,22-Jul,29-Jul,,"38,802","38,802"
1968,11-Jul,21-Jul,25-Jul,8-Aug,,"19,726","19,726"
1969,8-Jul,12-Jul,19-Jul,3-Aug,,"11,805","11,805"
1970,6-Jul,26-Jul,2-Aug,12-Aug,,"8,430","8,430"
1971,13-Jul,20-Jul,29-Jul,13-Aug,,"18,523","18,523"
1972,13-Jul,12-Jul,19-Jul,31-Jul,21-Aug,"52,454","52,454"
1973,11-Jul,25-Jul,31-Jul,6-Aug,1-Sep,"2,864","2,864"
1974,4-Jul,29-Jul,4-Aug,18-Aug,13-Sep,"8,101","8,101"
1975,11-Jul,27-Jul,9-Aug,18-Aug,28-Aug,"8,159","8,159"
1976,16-Jul,29-Jul,2-Aug,6-Aug,24-Aug,"24,111","24,111"
1977,7-Jul,12-Jul,17-Jul,11-Aug,25-Aug,"42,960","42,960"
1978,11-Jul,11-Jul,21-Jul,30-Jul,26-Aug,"22,788","22,788"
1979,10-Jul,24-Jul,2-Aug,12-Aug,31-Aug,"10,211","10,211"
1980,4-Jul,16-Jul,25-Jul,13-Aug,3-Sep,"11,018","11,018"
1981,8-Jul,17-Jul,25-Jul,4-Aug,8-Sep,"50,790","50,790"
1982,3-Jul,11-Jul,20-Jul,30-Jul,4-Sep,"28,257","28,257"
1983,28-Jun,6-Jul,23-Jul,6-Aug,7-Sep,"21,256","21,256"
1984,20-Jun,21-Jul,26-Jul,3-Aug,29-Aug,"32,777","32,777"
1985,29-Jun,19-Jul,2-Aug,7-Aug,5-Sep,"67,326","67,326"
1986,10-Jul,28-Jul,4-Aug,11-Aug,4-Sep,"20,280","20,280"
1987,14-Jul,21-Jul,4-Aug,13-Aug,27-Aug,"6,958","6,958"
1988,16-Jul,16-Jul,6-Aug,14-Aug,29-Aug,"2,536","2,536"
1989,7-Jul,9-Jul,1-Aug,14-Aug,4-Sep,"8,316","8,316"
1990,6-Jul,15-Jul,26-Jul,3-Aug,28-Aug,"14,927","14,927"
1991,30-Jun,17-Jul,25-Jul,7-Aug,5-Sep,"50,135","50,135"
1992,9-Jul,18-Jul,25-Jul,3-Aug,2-Sep,"59,907","59,907"
1993,7-Jul,10-Jul,28-Jul,10-Aug,11-Sep,"53,362","51,610"
1994,7-Jul,14-Jul,30-Jul,9-Aug,7-Sep,"46,363","39,511"
1995,8-Jul,9-Jul,24-Jul,12-Aug,16-Sep,"42,317","31,577"
1996,6-Jul,14-Jul,22-Jul,4-Aug,10-Sep,"52,500","38,161"
1997,9-Jul,15-Jul,25-Jul,26-Aug,26-Sep,"12,483","12,105"
1998,9-Jul,11-Jul,25-Jul,15-Aug,17-Sep,"12,658","12,268"
1999,10-Jul,19-Jul,31-Jul,13-Aug,15-Sep,"10,748","10,319"
2000,9-Jul,21-Jul,25-Jul,3-Aug,4-Sep,"6,076","5,670"
2001,8-Jul,19-Jul,31-Jul,9-Aug,14-Sep,"14,811","14,761"
2002,7-Jul,12-Jul,25-Jul,8-Aug,14-Sep,"17,740","17,340"
2003,7-Jul,11-Jul,29-Jul,8-Aug,18-Sep,"53,933","53,533"
2004,7-Jul,12-Jul,25-Jul,10-Aug,15-Sep,"63,372","62,952"
2005,8-Jul,11-Jul,4-Aug,25-Aug,15-Sep,"43,446","43,046"
2006,9-Jul,12-Jul,27-Jul,20-Aug,13-Sep,"53,855","53,455"
2007,13-Jul,20-Jul,8-Aug,19-Aug,15-Sep,"21,074","20,874"
2008,7-Jul,21-Jul,30-Jul,10-Aug,18-Sep,"10,516","10,416"
2009,9-Jul,13-Jul,18-Jul,3-Aug,14-Sep,"30,673","30,324"
2010,10-Jul,10-Jul,29-Jul,12-Aug,10-Sep,"22,860","22,702"
2011,9-Jul,13-Jul,18-Jul,7-Aug,1-Sep,"34,588","34,248"
2012,9-Jul,16-Jul,24-Jul,8-Aug,29-Aug,"13,687","13,463"
2013,7-Jul,16-Jul,20-Jul,2-Aug,10-Sep,"15,828","15,828"
2014,16-Jul,22-Jul,25-Jul,2-Aug,11-Sep,"40,145","39,745"
2015,9-Jul,15-Jul,7-Aug,23-Aug,13-Sep,"33,159","33,159"
2016,7-Jul,11-Jul,5-Aug,22-Aug,12-Sep,"38,631","38,458"
2017,7-Jul,14-Jul,5-Aug,31-Aug,18-Sep,"19,241","19,241"
2018,7-Jul,15-Jul,,,9-Sep,"9,854","16,350"
2019,7-Jul,13-Jul,30-Jul,12-Aug,10-Sep,"36,999","36,787"
2020,7-Jul,22-Jul,8-Aug,19-Aug,11-Sep,"11,158","11,158"
2021,7-Jul,20-Jul,31-Jul,13-Aug,13-Sep,"43,246","42,846"
2022,10-Jul,22-Jul,25-Jul,2-Aug,15-Sep,"53,172","52,772"
2023,9-Jul,13-Jul,25-Jul,20-Aug,20-Sep,"37,759","37,359"